#host-protein-ID,NCBI-gene-ID,host-protein
489,597,BCL2A1|HBPA1|GRS|BFL1|BCL2L5|ACC-1|ACC-2|ACC2|ACC1
490,598,BCL2L1|BCLX|BCL2L|Bcl-X|bcl-xL|bcl-xS|PPP1R52
491,599,BCL2L2|KIAA0271|BCL-W|PPP1R51
492,600,BAK1P1|BCL2L7P1|BAK2
493,601,BAK1P2|BCL2L7P2|BAK3|BAK3P
494,602,BCL3|D19S37|BCL4
495,604,BCL6|ZNF51|ZBTB27|LAZ3|BCL5|BCL6A
496,605,BCL7A|BCL7
497,606,NBEAP1|BCL8|BCL8A
498,607,BCL9
499,608,TNFRSF17|BCMA|BCM|CD269|TNFRSF13A
500,610,HCN2|BCNG2|BCNG-2|HAC-1
501,611,OPN1SW|BCP|BOP|CBT
502,613,BCR|D22S11|BCR1|D22S662|CML|PHL|ALL
503,616,BCRP4|BCR4|BCRL4|BCR-4
504,617,BCS1L|Hs.6719|BCS|h-BCS|BJS
505,618,BCYRN1|BC200|BC200a|NCRNA00004|LINC00004
506,619,BCYRN1P1|BC200b
507,620,BCYRN1P2|BC200g
508,622,BDH1|BDH|SDR9C1
509,623,BDKRB1|BKR1|B1BKR|bradyb1
510,624,BDKRB2|BK-2
511,627,BDNF
512,629,CFB|BFD|BF|H2-Bf
513,631,BFSP1|CP94|CP115|LIFL-H|filensin
514,632,BGLAP|OCN
515,633,BGN|DSPG1|SLRR1A
516,634,CEACAM1|BGP|BGP1|CD66a
517,635,BHMT|BHMT1
518,636,BICD1
519,637,BID
520,638,BIK|NBK
521,639,PRDM1|BLIMP1|PRDI-BF1
522,640,BLK|MGC10442
523,641,BLM|BS|RECQL3|RECQ2
524,642,BLMH|BH
525,643,CXCR5|BLR1|MDR15|CD185
526,644,BLVRA|BLVR
527,645,BLVRB|FLR|SDR43U1
528,646,BNC1|BNC|HsT19447
529,648,BMI1|PCGF4|RNF51
530,649,BMP1|PCOLC|BMP-1
531,650,BMP2|BMP2A
532,651,BMP3
533,652,BMP4|BMP2B
534,653,BMP5
535,654,BMP6|VGR|VGR1
536,655,BMP7|OP-1
537,656,BMP8B|BMP8|OP-2
538,657,BMPR1A|ACVRLK3|ALK3|CD292
539,658,BMPR1B|ALK6|CDw293
540,659,BMPR2|PPH1|BRK-3|T-ALK|BMPR3|BMPR-II
541,660,BMX|ETK|PSCTK3
542,661,POLR3D|BN51T|TSBN51|RPC4|C53
543,662,BNIP1|Nip1|SEC20
544,663,BNIP2|Nip2|BNIP-2
545,664,BNIP3|Nip3
546,665,BNIP3L|Nix|BNIP3a
547,666,BOK|BCL2L9|BOKL|MGC4631
548,667,DST|BPAG1|BP240|KIAA0728|FLJ21489|FLJ13425|FLJ32235|FLJ30627|CATX-15|BPA|MACF2
549,668,FOXL2|BPES|BPES1
550,669,BPGM
551,670,BPHL|MCNAA|Bph-rp|VACVase
552,671,BPI|BPIFD1
553,672,BRCA1|RNF53|BRCC1|PPP1R53|FANCS
554,673,BRAF|BRAF1
555,675,BRCA2|FANCD1|FACD|FANCD|FAD|FAD1|BRCC2|XRCC11
556,676,BRDT|BRD6|CT9
557,677,ZFP36L1|BRF1|RNF162B|Berg36|ERF1|TIS11B|cMG1
558,678,ZFP36L2|BRF2|ERF2|RNF162C|TIS11D
559,680,BRS3|BB3|BB3R|BBR3
560,682,BSG|OK|EMMPRIN|CD147|EMPRIN
561,683,BST1|CD157
562,684,BST2|CD317|tetherin
563,685,BTC
564,686,BTD
565,687,KLF9|BTEB1
566,688,KLF5|BTEB2|IKLF|CKLF
567,689,BTF3|NACB|BTF3a|BTF3b
568,690,BTF3P11|BTF3L1|HUMBTFB|TNFRSF11B|OPG|OCIF
569,693,BTF3P1|HUMBTFA
570,694,BTG1|APRO2
571,695,BTK|AGMX1|IMD1|ATK|XLA|PSCTK1
572,696,BTN1A1|BTN|BT|BTN1
573,699,BUB1|BUB1L|hBUB1|BUB1A
574,701,BUB1B|BUBR1|MAD3L|Bub1A|SSK1
575,705,BYSL|Enp1
576,706,TSPO|BZRP|PBR|MBR|PKBS|mDRC|DBI|IBP|pk18
577,708,C1QBP|HABP1|gC1Q-R|gC1qR|p32|SF2p32
578,710,SERPING1|C1NH|C1IN|C1-INH|HAE1|HAE2|C1INH
579,711,ERC2-IT1|C1orf1|C3orf51|Po42
580,712,C1QA
581,713,C1QB
582,714,C1QC|C1QG
583,715,C1R
584,716,C1S
585,717,C2
586,718,C3|CPAMD1|ARMD9|C3a|C3b
587,719,C3AR1|C3AR|AZ3B
588,720,C4A|CPAMD2|C4S|CO4|C4|C4A3|C4A2|C4A4|C4A6|C4B|RG
589,721,C4B|CPAMD3|C4F|CO4|C4B1|C4B3|CH
590,722,C4BPA|C4BP
591,724,C4BPAP2|C4BPAL2
592,725,C4BPB|C4BP
593,726,CAPN5|VRNI|nCL-3|HTRA3|ADNIV
594,727,C5|CPAMD4|C5a|C5b
595,728,C5AR1|C5R1|C5A|C5AR|CD88
596,729,C6
597,730,C7
598,731,C8A
599,732,C8B
600,733,C8G
601,734,OSGIN2|C8orf1|hT41
602,735,C9
603,738,VPS51|C11orf3|C11orf2|ANG2|ANG3|FFR
604,740,MRPL49|C11orf4|NOF|NOF1|L49mt
605,741,ZNHIT2|C11orf5|FON
606,744,MPPED2|C11orf8|239FB|D11S302E|Hs.46638|FAM1B|dJ873F21.1|dJ1024C24.1
607,745,MYRF|C11orf9|Ndt80|pqn-47|MRF
608,746,TMEM258|C11orf10|Kuduk|Kud
609,747,DAGLA|C11orf11|KIAA0659|NSDDR|DAGLALPHA
610,750,GAS8-AS1|C16orf3
611,752,FMNL1|C17orf1B|FMNL|C17orf1
612,753,LDLRAD4|C18orf1
613,754,PTTG1IP|C21orf3|C21orf1|PBF
614,755,CFAP410|C21orf2|YF5|A2|LRRC76
615,757,TMEM50B|C21orf4
616,758,MPPED1|C22orf1|239AB|FAM1A
617,759,CA1|Car1
618,760,CA2|Car2|CA-II|CAII
619,761,CA3|Car3|CAIII
620,762,CA4|RP17|CAIV|Car4
621,763,CA5A|CA5|CAV|CAVA
622,764,CA5AP1|CA5P
623,765,CA6
624,766,CA7
625,767,CA8|CALS|CARP
626,768,CA9|MN|CAIX
627,770,CA11|CARP2|CARPX1
628,771,CA12|HsT18816
629,773,CACNA1A|CACNL1A4|SCA6|MHP1|MHP|Cav2.1|EA2|APCA|HPCA|FHM
630,774,CACNA1B|CACNL1A5|Cav2.2|CACNN
631,775,CACNA1C|CCHL1A1|CACNL1A1|Cav1.2|CACH2|CACN2|TS|LQT8
632,776,CACNA1D|CCHL1A2|CACNL1A2|Cav1.3|CACH3|CACN4
633,777,CACNA1E|CACNL1A6|Cav2.3|BII|CACH6
634,778,CACNA1F|CSNB2|AIED|Cav1.4|JM8|JMC8|CSNBX2|CORDX3|CSNB2A|OA2
635,779,CACNA1S|HOKPP|MHS5|CACNL1A3|Cav1.1|hypoPP
636,780,DDR1|NTRK4|PTK3A|NEP|CAK|EDDR1|RTK6|CD167
637,781,CACNA2D1|CACNL2A|CACNA2|MHS3|LINC01112|lncRNA-N3
638,782,CACNB1|CACNLB1
639,783,CACNB2|MYSB|CACNLB2
640,784,CACNB3|CACNLB3
641,785,CACNB4|EJM4
642,786,CACNG1|CACNLG
643,788,SLC25A20|CACT|CAC
644,789,SLC25A20P1|CACTP|SLC25A20P
645,790,CAD|GATD4
646,793,CALB1|CALB
