#virus-ID,virus-name,NCBI-virus-protein-ID,virus-protein
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_579883
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_579895
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_579880
11676,Human immunodeficiency virus 1|HIV-1|HIV|HIV1|LAV-1|Human immunodeficiency virus type 1|human immunodeficiency virus 1 HIV-1|human immunodeficiency virus HIV-1|human immunodeficiency virus type 1 HIV 1|human immunodeficiency virus type 1 HIV-1|human immunodeficiency virus type 1 HIV1|human immunodeficiency virus type 1- HIV-1|human immunodeficiency virus type I HIV-1|human immunodeficiency virus type-1 HIV-1|human immunodeficiency virus-1 HIV-1|AIDS virus,35904,NP|NP_579881
11670,Equine infectious anemia virus (CLONE 1369),100141955,GAG|GAG_EIAV9
11927,Human T-cell lymphotrophic virus type 1 (Caribbean isolate)|Human T-cell leukemia virus type I (Caribbean isolate),100141955,GAG|GAG_HTL1C
11927,Human T-cell lymphotrophic virus type 1 (Caribbean isolate)|Human T-cell leukemia virus type I (Caribbean isolate),6900,TAX|TAX_HTL1C
11927,Human T-cell lymphotrophic virus type 1 (Caribbean isolate)|Human T-cell leukemia virus type I (Caribbean isolate),402813,ENV|ENV_HTL1C
11927,Human T-cell lymphotrophic virus type 1 (Caribbean isolate)|Human T-cell leukemia virus type I (Caribbean isolate),45353,REX|REX_HTL1C
88776,Influenza A virus (A/Brevig Mission/1/1918(H1N1))|Influenza A virus (A/BREVIG MISSION/1/18 (H1N1))|Influenza A virus (A/Brevig Mission/1/1918 (H1N1))|Influenza A virus (A/Brevig_Mission/1/18(H1N1))|Influenza A virus (A/Brevig_Mission/1/1918(H1N1)),827443,NS1|NS1_I18A0
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),3974232,ORF11|ORF11_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),41913,GM|GM_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),249387,K7|K7_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),3974177,ORF4|ORF4_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),43946,LANA1|LANA1_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),542561,MIR1|MIR1_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),101460962,TYSY|TYSY_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),1343053,ORF10|ORF10_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),18983507,MCP|MCP_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),68239,K42|K42_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),110904092,RIR2|RIR2_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),541654,MIR2|MIR2_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),3077564,UL92|UL92_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),100216496,GB|GB_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),46847293,UNG|UNG_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),9615633,TRX1|TRX1_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),1446584,ORF48|ORF48_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),3866,K15|K15_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),1446597,ORF58|ORF58_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),101449321,DYR|DYR_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),35505,SCAF|SCAF_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),1343067,ORF24|ORF24_HHV8P
868565,Human herpesvirus 8 strain GK18|Human herpesvirus 8 (strain GK18),1446585,ORF50|ORF50_HHV8P
