#DrugBank-ID,host-protein-ID,NCBI-host-protein-ID,gene
6599,6414,8795,TNFRSF10B
5460,2227,2950,GSTP1
2341,1541,1991,ELANE
2341,1540,1990,CELA1
9342,4927,6566,SLC16A1
8743,1411,1803,DPP4
4556,57,43,ACHE
8566,1202,1504,CTRB1
843,57,43,ACHE
843,2550,3356,HTR2A
3800,5549,7298,TYMS
3342,5707,7504,NA
6245,1739,2243,FGA
6245,2960,3911,LAMA5
6245,2893,3816,KLK1
6245,20007,284217,LAMA1
6245,1818,2335,FN1
6245,2961,3912,LAMB1
6245,5403,7123,CLEC3B
6245,3731,5055,SERPINB2
6245,1671,2159,F10
6245,3952,5329,PLAUR
6245,2925,3856,KRT8
6245,3044,4035,LRP1
6245,2958,3909,LAMA3
6245,2964,3915,LAMC1
6245,671,821,CANX
6245,662,811,CALR
6245,257,302,ANXA2
2420,4306,5770,PTPN1
8277,2503,3290,HSD11B1
7388,3577,4846,NOS3
7388,3576,4843,NOS2
6069,5425,7150,TOP1
2901,209,231,AR
2901,2505,3292,HSD17B1
2901,1627,2099,ESR1
7008,3576,4843,NOS2
1,1661,2147,F2
1104,4897,6531,SLC6A3
1104,4898,6532,SLC6A4
710,1726,2224,FDPS
1649,1530,1977,EIF4E
1649,10602,28960,DCPS
5317,1725,2222,FDFT1
5317,2402,3156,HMGCR
4114,57,43,ACHE
3600,4058,5468,PPARG
3600,11115,51228,GLTP
3600,3721,5045,FURIN
119,6653,9123,SLC16A3
119,3812,5162,PDHB
119,3756,5091,PC
119,6650,9120,SLC16A6
119,6706,9194,SLC16A7
119,4928,6567,SLC16A2
119,3937,5313,PKLR
119,6652,9122,SLC16A4
119,6651,9121,SLC16A5
119,4927,6566,SLC16A1
119,9036,23539,SLC16A8
119,33,18,ABAT
119,3939,5315,PKM
119,13777,64902,AGXT2
2272,189,210,ALAD
5419,10884,50632,CALY
13200,1150,1441,CSF3R
13960,1631,2104,ESRRG
2222,3589,4860,PNP
5088,303,351,APP
2091,722,890,CCNA2
2091,834,1017,CDK2
744,213,240,ALOX5
1579,142,146,ADRA1A
1579,143,147,ADRA1B
1579,4896,6530,SLC6A2
6116,2736,3627,CXCL10
3061,125,126,ADH1C
8615,57,43,ACHE
3273,178,191,AHCY
6692,3963,5340,PLG
6692,4206,5644,PRSS1
6692,2893,3816,KLK1
6692,1202,1504,CTRB1
281,4740,6335,SCN9A
281,3690,5004,ORM1
281,4735,6329,SCN4A
281,1516,1956,EGFR
281,3691,5005,ORM2
281,4741,6336,SCN10A
281,4737,6331,SCN5A
1023,631,775,CACNA1C
1023,632,776,CACNA1D
1023,5405,7125,TNNC2
1023,654,801,CALM1
1023,637,781,CACNA2D1
1023,635,779,CACNA1S
1023,6513,8912,CACNA1H
1023,5412,7134,TNNC1
1023,3803,5153,PDE1B
1023,6751,9254,CACNA2D2
1023,639,783,CACNB2
3338,4057,5467,PPARD
3338,1770,2280,FKBP1A
4654,4206,5644,PRSS1
4654,13666,64499,TPSB2
1267,1423,1815,DRD4
1267,146,151,ADRA2B
1267,1323,1659,HRH1
1267,142,146,ADRA1A
1267,1247,1565,CYP2D6
1267,2557,3363,HTR7
1267,2550,3356,HTR2A
1267,2545,3350,HTR1A
1267,2552,3358,HTR2C
1267,1421,1813,DRD2
1267,1420,1812,DRD1
1267,2547,3352,HTR1D
1267,143,147,ADRA1B
1267,1252,1576,CYP3A4
1267,147,152,ADRA2C
1267,1422,1814,DRD3
1267,145,150,ADRA2A
1267,1253,1577,CYP3A5
6421,5428,7153,TOP2A
6421,5430,7155,TOP2B
9112,2309,3043,HBB
9112,2305,3039,HBA1
9112,3143,4151,MB
3062,3570,4836,NMT1
268,2546,3351,HTR1B
268,146,151,ADRA2B
268,2552,3358,HTR2C
268,2551,3357,HTR2B
268,147,152,ADRA2C
268,145,150,ADRA2A
268,1423,1815,DRD4
268,1421,1813,DRD2
268,2547,3352,HTR1D
268,1422,1814,DRD3
268,2550,3356,HTR2A
268,2545,3350,HTR1A
268,1420,1812,DRD1
7893,2649,3514,IGKC
55,4195,5627,PROS1
55,1669,2157,F8
55,1077,1356,CP
55,1666,2153,F5
55,3767,5104,SERPINA5
55,5342,7056,THBD
55,3730,5054,SERPINE1
55,1661,2147,F2
55,3841,5196,PF4
55,7829,10544,PROCR
55,3897,5269,SERPINB6
55,2000,2677,GGCX
3777,3919,5292,PIM1
3777,4154,5584,PRKCI
3777,3820,5170,PDPK1
4132,2043,2739,GLO1
4132,2227,2950,GSTP1
4132,2225,2948,GSTM4
4132,2217,2938,GSTA1
4132,2230,2953,GSTT2
7119,6302,8648,NCOA1
7119,1628,2100,ESR2
419,5598,7357,UGCG
5950,630,774,CACNA1B
7968,4354,5836,PYGL
3507,5410,7132,TNFRSF1A
7944,1661,2147,F2
5489,40,25,ABL
3442,396,471,ATIC
5416,4057,5467,PPARD
5416,4056,5465,PPARA
7151,3919,5292,PIM1
7189,5172,6868,ADAM17
3347,5432,7157,TP53
5432,10884,50632,CALY
3596,618,760,CA2
8271,3254,4321,MMP12
8271,3252,4319,MMP10
8271,3248,4314,MMP3
8271,6793,9313,MMP20
748,1323,1659,HRH1
7859,4137,5566,PRKACA
7859,4140,5569,PKIA
7859,2212,2932,GSK3B
7859,188,208,AKT2
1236,9815,27032,ATP2C1
1236,427,513,ATP5D
1236,2175,2890,GRIA1
1236,3334,4535,MT-ND1
1236,2820,3736,KCNA1
1236,1903,2554,GABRA1
1236,2045,2741,GLRA1
4764,13666,64499,TPSB2
3067,4355,5837,PYGM
4565,5707,7504,NA
5399,5639,7412,VCAM1
7060,11596,54363,HAO1
1871,6359,8722,CTSF
7195,1627,2099,ESR1
7195,7796,10499,NCOA2
2597,3245,4311,MME
1259,1607,2064,ERBB2
1259,1516,1956,EGFR
7212,1672,2160,F11
1087,4741,6336,SCN10A
1087,2924,3855,KRT7
1087,3569,4835,NQO2
6152,6512,8911,CACNA1I
6152,2608,3455,IFNAR2
6204,4898,6532,SLC6A4
6204,2553,3359,HTR3A
6204,3677,4988,OPRM1
6204,3675,4986,OPRK1
6204,3674,4985,OPRD1
6204,4896,6530,SLC6A2
2931,30,15,AANAT
1089,4932,6571,SLC18A2
11605,4056,5465,PPARA
11605,7349,9971,NR1H4
11605,6468,8856,NR1I2
3981,7334,9955,HS3ST3A1
3981,263,308,ANXA5
3981,1743,2247,FGF2
7814,21004,344752,AADACL2
8191,4824,6446,SGK1
1148,923,1128,CHRM1
1148,924,1129,CHRM2
9071,3343,4544,MTNR1B
9071,3342,4543,MTNR1A
1827,2995,3958,LGALS3
7403,3813,5163,PDK1
8762,1078,1357,CPA1
5390,3710,5029,P2RY2
11338,5639,7412,VCAM1
11338,1147,1438,CSF2RA
11338,2736,3627,CXCL10
11338,1014,1277,COL1A1
60,2607,3454,IFNAR1
60,2608,3455,IFNAR2
2383,209,231,AKR1B1
2383,12892,57016,AKR1B10
2383,7652,10327,AKR1A1
11185,928,1133,CHRM5
7629,1671,2159,F10
1863,187,207,AKT1
1863,571,695,BTK
1863,6759,9265,CYTH3
1863,3820,5170,PDPK1
1863,2800,3706,ITPKA
1863,6760,9266,CYTH2
1863,9830,27071,DAPP1
1863,13233,57664,PLEKHA4
2367,3248,4314,MMP3
9231,638,782,CACNB1
9231,630,774,CACNA1B
1621,1421,1813,DRD2
1621,2545,3350,HTR1A
1621,2550,3356,HTR2A
1621,1420,1812,DRD1
5171,11023,51107,APH1A
5171,12553,55851,PSENEN
4606,1667,2155,F7
4847,16317,112398,EGLN2
4847,16318,112399,EGLN3
4847,11710,54583,EGLN1
3150,1447,1841,DTYMK
1962,5056,6714,SRC
1962,2321,3055,HCK
1962,2892,3815,KIT
2277,1142,1432,MAPK14
5064,2503,3290,HSD11B1
7906,4009,5409,PNMT
59,1541,1991,ELANE
3382,4125,5550,PREP
3382,5000,6647,SOD1
8088,209,231,AR
980,3343,4544,MTNR1B
980,3342,4543,MTNR1A
7714,2215,2936,GSR
416,930,1135,CHRNA2
9089,3677,4988,OPRM1
9089,924,1129,CHRM2
9089,926,1131,CHRM3
9089,923,1128,CHRM1
9089,927,1132,CHRM4
7508,1661,2147,F2
8774,910,1111,CHEK1
8783,4306,5770,PTPN1
5018,2030,2717,GLA
6693,2402,3156,HMGCR
2322,4754,6352,CCL5
7839,1215,1520,CTSS
2644,3576,4843,NOS2
2644,3575,4842,NOS1
2803,4457,5972,REN
3727,5623,7389,UROD
1056,4737,6331,SCN5A
2217,12851,56953,NT5M
7126,834,1017,CDK2
7126,722,890,CCNA2
6481,1349,1723,DHODH
9257,1414,1806,DPYD
5469,142,146,ADRA1A
5469,142,146,ADRA1D
5469,143,147,ADRA1B
4579,1204,1508,CTSB
1034,1700,2194,FASN
2661,6604,9061,PAPSS1
561,11179,51305,KCNK9
561,2858,3777,KCNK3
8001,4306,5770,PTPN1
4879,1809,2324,FLT4
4879,2871,3791,KDR
4879,1806,2321,FLT1
13934,209,231,AR
8393,910,1111,CHEK1
4525,4306,5770,PTPN1
2902,5112,6783,SULT1E1
1152,1421,1813,DRD2
1123,1661,2147,F2
1123,57,43,ACHE
7039,209,231,AR
4306,18929,200895,DHFRL1
1864,6392,8766,RAB11A
1864,329,382,ARF6
1864,5340,7053,TGM3
772,484,590,BCHE
3456,1209,1513,CTSK
8808,148,153,ADRB1
8808,150,155,ADRB3
8808,149,154,ADRB2
816,149,154,ADRB2
8883,2175,2890,GRIA1
9039,5598,7357,UGCG
7860,4140,5569,PKIA
7860,4137,5566,PRKACA
11995,3275,4352,MPL
11995,6889,9429,ABCG2
11995,6845,9376,SLC22A8
1071,1323,1659,HRH1
5161,1541,1991,ELANE
5161,4217,5657,PRTN3
305,1627,2099,ESR1
4276,673,823,CAPN1
2761,3234,4294,MST
2761,5520,7263,TST
5125,1349,1723,DHODH
3459,645,790,CAD
9123,3875,5241,PGR
9123,209,231,AR
1558,1913,2565,GABRG1
1558,1905,2556,GABRA3
1558,1904,2555,GABRA2
1558,1906,2557,GABRA4
1558,1916,2569,GABRR1
1558,1911,2563,GABRD
1558,18936,200959,GABRR3
1558,1912,2564,GABRE
1558,1909,2560,GABRB1
1558,12572,55879,GABRQ
1558,1917,2570,GABRR2
1558,1908,2559,GABRA6
1558,1910,2562,GABRB3
1558,1907,2558,GABRA5
1558,1903,2554,GABRA1
1558,1915,2568,GABRP
1558,1914,2567,GABRG3
5540,16841,122622,ADSSL1
5540,154,159,ADSS
5372,1009,1268,CNR1
7250,1595,2050,EPHB4
3072,138,142,PARP1
1771,4206,5644,PRSS1
2596,21190,349565,NMNAT3
8256,1598,2053,EPHX2
8815,2550,3356,HTR2A
8815,147,152,ADRA2C
8815,2545,3350,HTR1A
8815,1421,1813,DRD2
8815,145,150,ADRA2A
8815,2557,3363,HTR7
2131,125,126,ADH1C
7357,43,28,ABO
35,459,552,AVPR1A
35,460,553,AVPR1B
35,461,554,AVPR2
90,1822,2346,FOLH1
221,149,154,ADRB2
221,148,153,ADRB1
5229,4284,5739,PTGIR
8819,4282,5737,PTGFR
8167,57,43,ACHE
6089,2867,3786,KCNQ3
6089,6662,9132,KCNQ4
6089,12738,56479,KCNQ5
6089,2866,3785,KCNQ2
6089,2865,3784,KCNQ1
3003,2227,2950,GSTP1
3003,2217,2938,GSTA1
3003,2225,2948,GSTM4
6506,2545,3350,HTR1A
2719,4355,5837,PYGM
5467,4411,5916,RARG
616,3245,4311,MME
616,1304,1636,ACE
1949,3251,4318,MMP9
1038,1420,1812,DRD1
1038,1421,1813,DRD2
2604,4355,5837,PYGM
798,1347,1719,DHFR
798,3045,4036,LRP2
3950,618,760,CA2
5442,2675,3553,IL1B
4444,2076,2779,GNAT1
4444,13217,57644,MYH14
4444,11420,51727,CMPK1
4444,412,487,ATP2A1
4444,2067,2770,GNAI1
4444,3412,4629,MYH11
3760,1982,2653,GCSH
3760,1360,1737,DLAT
3760,3815,5165,PDK3
1203,149,154,ADRB2
1203,148,153,ADRB1
5223,2328,3066,HDAC2
5223,7382,10013,HDAC6
5223,6456,8841,HDAC3
5223,2327,3065,HDAC1
4527,7987,10747,MASP2
2889,243,279,AMY2A
9369,1627,2099,ESR1
8779,910,1111,CHEK1
1224,145,150,ADRA2A
1224,2547,3352,HTR1D
1224,2557,3363,HTR7
1224,2556,3362,HTR6
1224,924,1129,CHRM2
1224,2545,3350,HTR1A
1224,1422,1814,DRD3
1224,2546,3351,HTR1B
1224,142,146,ADRA1A
1224,142,146,ADRA1D
1224,2553,3359,HTR3A
1224,143,147,ADRA1B
1224,1323,1659,HRH1
1224,2548,3354,HTR1E
1224,1423,1815,DRD4
1224,927,1132,CHRM4
1224,1420,1812,DRD1
1224,1421,1813,DRD2
1224,928,1133,CHRM5
1224,146,151,ADRA2B
1224,926,1131,CHRM3
1224,923,1128,CHRM1
1224,2552,3358,HTR2C
1224,2550,3356,HTR2A
1224,147,152,ADRA2C
2300,5646,7421,VDR
5212,3536,4790,NFKB1
5212,3537,4791,NFKB2
915,1421,1813,DRD2
915,16603,116443,GRIN3A
915,934,1139,CHRNA7
915,931,1136,CHRNA3
915,932,1137,CHRNA4
9225,2557,3363,HTR7
9225,1421,1813,DRD2
9225,4898,6532,SLC6A4
9225,4896,6530,SLC6A2
9225,2556,3362,HTR6
9225,2550,3356,HTR2A
2559,1347,1719,DHFR
2448,10826,30814,PLA2G2E
2448,3944,5320,PLA2G2A
2448,3943,5319,PLA2G1B
226,4896,6530,SLC6A2
555,633,777,CACNA1E
555,3675,4986,OPRK1
555,4732,6326,SCN2A
555,1421,1813,DRD2
555,2553,3359,HTR3A
555,132,134,ADORA1
555,145,150,ADRA2A
555,148,153,ADRB1
555,1323,1659,HRH1
555,142,146,ADRA1A
555,133,135,ADORA2A
555,2550,3356,HTR2A
2573,4509,6035,RNASE1
2363,4509,6035,RNASE1
4930,4730,6323,SCN1A
4930,1627,2099,ESR1
4930,6468,8856,NR1I2
9088,18521,162514,TRPV3
8155,617,759,CA1
8155,618,760,CA2
7006,5678,7465,WEE1
8855,12930,57105,CYSLTR2
8855,8028,10800,CYSLTR1
8855,3286,4363,ABCC1
9078,1756,2260,FGFR1
9078,1757,2261,FGFR3
9078,1806,2321,FLT1
9078,1809,2324,FLT4
9078,2871,3791,KDR
9078,1759,2263,FGFR2
9078,2892,3815,KIT
9078,1760,2264,FGFR4
1644,2215,2936,GSR
1840,11282,51477,ISYNA1
7787,138,142,PARP1
1548,7546,10206,TRIM13
1548,3675,4986,OPRK1
1548,3677,4988,OPRM1
1548,3674,4985,OPRD1
1854,361,417,ART1
2492,3120,4124,MAN2A1
2919,1347,1719,DHFR
5966,1628,2100,ESR2
5966,1627,2099,ESR1
4450,4493,6010,RHO
3448,4512,6038,RNASE4
3448,4509,6035,RNASE1
1083,1700,2194,FASN
1083,6188,8513,LIPF
1083,4006,5406,PNLIP
3046,3951,5328,PLAU
5015,4462,5979,RET
13761,3039,4023,LPL
1031,618,760,CA2
1031,617,759,CA1
4010,138,142,PARP1
5679,2707,3593,IL12B
7765,26136,728635,DHRS4L1
63,2785,3690,ITGB3
723,142,146,ADRA1D
723,143,147,ADRA1B
723,142,146,ADRA1A
8374,1202,1504,CTRB1
966,173,185,AGTR1
966,4058,5468,PPARG
7179,834,1017,CDK2
3612,2299,3033,HADH
11087,6468,8856,NR1I2
7028,209,231,AKR1B1
6654,3124,4129,MAOB
392,924,1129,CHRM2
392,923,1128,CHRM1
392,16603,116443,GRIN3A
8259,1598,2053,EPHX2
527,654,801,CALM1
527,4737,6331,SCN5A
527,4741,6336,SCN10A
975,3690,5004,ORM1
975,102,100,ADA
975,1434,1827,RCAN1
975,3791,5141,PDE4A
975,8069,10846,PDE10A
975,6306,8654,PDE5A
3554,1414,1806,DPYD
3424,3054,4048,LTA4H
7804,1671,2159,F10
2568,3589,4860,PNP
6852,910,1111,CHEK1
7395,4354,5836,PYGL
5141,286,332,BIRC5
882,1627,2099,ESR1
882,4838,6462,SHBG
1412,133,135,ADORA2A
1412,3792,5142,PDE4B
1412,132,134,ADORA1
4846,145,150,ADRA2A
4846,150,155,ADRB3
4846,148,153,ADRB1
4846,146,151,ADRA2B
4846,149,154,ADRB2
4846,147,152,ADRA2C
777,926,1131,CHRM3
777,1420,1812,DRD1
777,2552,3358,HTR2C
777,927,1132,CHRM4
777,1323,1659,HRH1
777,142,146,ADRA1A
777,924,1129,CHRM2
777,1423,1815,DRD4
777,143,147,ADRA1B
777,923,1128,CHRM1
777,142,146,ADRA1D
777,1421,1813,DRD2
777,928,1133,CHRM5
777,2550,3356,HTR2A
7440,1661,2147,F2
7592,1209,1513,CTSK
4703,6721,9212,AURKB
1169,2673,3551,IKBKB
1169,2327,3065,HDAC1
1169,3991,5371,PML
1169,842,1026,CDKN1A
1169,487,595,CCND1
1169,5547,7296,TXNRD1
1169,187,207,AKT1
1169,4165,5595,MAPK3
1169,4164,5594,MAPK1
1169,2812,3725,JUN
5301,684,834,CASP1
5301,3960,5337,PLD1
7228,910,1111,CHEK1
562,628,771,CA12
562,626,768,CA9
562,620,762,CA4
562,617,759,CA1
562,618,760,CA2
3214,15503,84680,ACCS
3214,19655,259307,IL4I1
989,57,43,ACHE
989,484,590,BCHE
2529,5707,7504,NA
8423,1142,1432,MAPK14
8156,617,759,CA1
8156,618,760,CA2
3176,5351,7068,THRB
3176,5350,7067,THRA
4113,125,126,ADH1C
11811,4058,5468,PPARG
1611,209,231,AR
1611,11569,54106,TLR9
1611,11159,51284,TLR7
8067,2809,3717,JAK2
5383,209,231,AKR1B1
5383,3576,4843,NOS2
5383,5361,7078,TIMP3
2353,4754,6352,CCL5
1541,209,231,AR
161,482,586,BCAT1
161,5634,7407,VARS
161,3761,5096,PCCB
7941,1142,1432,MAPK14
7143,1661,2147,F2
5305,2710,3596,IL13
993,4377,5879,RAC1
993,2480,3251,HPRT1
11221,4838,6462,SHBG
878,1743,2247,FGF2
7168,666,816,CAMK2B
2472,102,100,ADA
12569,132,134,ADORA1
3598,618,760,CA2
7260,3054,4048,LTA4H
537,5428,7153,TOP2A
537,2840,3757,KCNH2
4893,1821,2342,FNTB
4893,1819,2339,FNTA
1908,5056,6714,SRC
7557,6302,8648,NCOA1
7557,5060,6718,AKR1D1
7557,4678,6256,RXRA
854,3677,4988,OPRM1
854,3675,4986,OPRK1
854,3674,4985,OPRD1
9198,4058,5468,PPARG
1917,148,153,ADRB1
1917,149,154,ADRB2
1917,3659,4953,ODC1
1917,227,262,AMD1
7678,1627,2099,ESR1
7678,7796,10499,NCOA2
1951,1770,2280,FKBP1A
7,2094,2798,GNRHR
6752,4128,5553,PRG2
5166,17559,139760,GPR119
424,926,1131,CHRM3
424,924,1129,CHRM2
424,927,1132,CHRM4
424,923,1128,CHRM1
13985,5089,6754,SSTR4
13985,5088,6752,SSTR2
2966,2176,2891,GRIA2
2936,3944,5320,PLA2G2A
7358,1974,2645,GCK
11090,2840,3757,KCNH2
5299,2679,3558,IL2
189,4238,5689,PSMB1
4542,3565,4830,NME1
7790,834,1017,CDK2
11112,1968,2638,GC
134,3345,4548,MTR
134,517,635,BHMT
134,8187,10988,METAP2
134,9155,23743,BHMT2
134,3348,4552,MTRR
2350,3248,4314,MMP3
8703,3233,4293,MAP3K9
1725,4206,5644,PRSS1
1725,3951,5328,PLAU
1725,1661,2147,F2
13915,757,930,CD19
7313,8187,10988,METAP2
254,9064,23569,PADI4
254,465,567,B2M
911,5646,7421,VDR
57,6638,9103,FCGR2C
2859,47,32,ACACB
7220,834,1017,CDK2
6366,1607,2064,ERBB2
2297,834,1017,CDK2
954,2549,3355,HTR1F
2072,4306,5770,PTPN1
3021,68,58,ACTA1
5607,2551,3357,HTR2B
7596,618,760,CA2
3241,1554,2004,SAP2
108,1719,2215,FCGR3B
108,580,712,C1QA
108,582,714,C1QC
108,2773,3676,ITGA4
108,2565,3383,ICAM1
108,583,715,C1R
108,1716,2212,FCGR2A
108,1714,2209,FCGR1A
108,581,713,C1QB
108,1718,2214,FCGR3A
108,6638,9103,FCGR2C
108,1717,2213,FCGR2B
6090,934,1139,CHRNA7
8186,6463,8850,KAT2B
13746,13567,64127,NOD2
13746,629,773,CACNA1A
9186,4898,6532,SLC6A4
1420,209,231,AR
2751,1937,2593,GAMT
5084,4290,5745,PTH1R
6831,3920,5293,PIK3CD
6831,3921,5294,PIK3CG
6772,14700,81027,TUBB1
6772,5532,7277,TUBA4A
6616,834,1017,CDK2
6616,40,25,ABL1
6616,4175,5605,MAP2K2
6616,4174,5604,MAP2K1
6616,3073,4067,LYN
6616,502,613,BCR
6616,668,818,CAMK2G
6616,5056,6714,SRC
6616,2321,3055,HCK
6616,7986,10746,MAP3K2
2087,618,760,CA2
7964,5172,6868,ADAM17
1587,1903,2554,GABRA1
1587,1911,2563,GABRD
1587,1912,2564,GABRE
1587,1909,2560,GABRB1
1587,576,706,TSPO
1587,1913,2565,GABRG1
8353,1163,1457,CSNK2A1
2979,3577,4846,NOS3
7720,936,1141,CHRNB2
7720,932,1137,CHRNA4
7720,934,1139,CHRNA7
7720,930,1135,CHRNA2
7720,931,1136,CHRNA3
7720,15838,89832,CHRFAM7A
7720,938,1143,CHRNB4
4938,1627,2099,ESR1
7368,4206,5644,PRSS1
4352,11462,53343,NUDT9
3130,2043,2739,GLO1
7001,3577,4846,NOS3
13149,4192,5624,PROC
13149,1671,2159,F10
13149,1666,2153,F5
4295,4355,5837,PYGM
5235,1138,1428,CRYM
5235,5350,7067,THRA
2166,57,43,ACHE
255,209,231,AR
255,1631,2104,ESRRG
255,4838,6462,SHBG
255,6468,8856,NR1I2
255,1629,2101,ESRRA
255,7796,10499,NCOA2
255,1627,2099,ESR1
255,1628,2100,ESR2
255,1630,2103,ESRRB
2158,3317,4507,MTAP
3095,1927,2582,GALE
5413,3767,5104,SERPINA5
2852,2183,2898,GRIK2
942,923,1128,CHRM1
2466,4411,5916,RARG
1252,4058,5468,PPARG
1252,5147,6833,ABCC8
1902,3624,4905,NSF
1902,12744,56605,ERO1B
3484,263,308,ANXA5
7683,3254,4321,MMP12
3792,4509,6035,RNASE1
7390,3248,4314,MMP3
7783,102,100,ADA
2056,8397,11251,PTGDR2
2056,6298,8644,AKR1C3
3945,13550,64100,ELSPBP1
3945,1117,1401,CRP
8087,209,231,AR
6990,5612,7374,UNG
12483,3917,5290,PIK3CA
12483,3920,5293,PIK3CD
8898,928,1133,CHRM5
3666,1447,1841,DTYMK
7875,1671,2159,F10
1244,3803,5153,PDE1B
1244,629,773,CACNA1A
1244,6513,8912,CACNA1H
1244,5412,7134,TNNC1
1244,2840,3757,KCNH2
1244,6751,9254,CACNA2D2
1244,2865,3784,KCNQ1
1244,401,476,ATP1A1
1244,654,801,CALM1
7120,1661,2147,F2
8784,13047,57407,NMRAL1
1901,1742,2246,FGF1
1901,1759,2263,FGFR2
5458,936,1141,CHRNB2
5458,932,1137,CHRNA4
286,1627,2099,ESR1
8096,1142,1432,MAPK14
8773,7796,10499,NCOA2
8773,1627,2099,ESR1
9235,6512,8911,CACNA1I
9235,631,775,CACNA1C
2933,3317,4507,MTAP
8593,4306,5770,PTPN1
13930,4164,5594,MAPK1
13930,4165,5595,MAPK3
5876,3791,5141,PDE4A
7958,10826,30814,PLA2G2E
3245,1969,2639,GCDH
5268,4391,5894,RAF1
3368,3248,4314,MMP3
494,1046,1312,COMT
3983,5139,6821,SUOX
780,1407,1798,GPT
780,33,18,ABAT
780,3123,4128,MAOA
780,1919,2572,GAD65
780,3124,4129,MAOB
780,15521,84706,GPT2
780,6294,8639,AOC3
2490,949,1158,CKM
1395,209,231,AR
1395,3875,5241,PGR
8547,2641,3501,IGHG2
5595,1823,2348,FOLR1
3344,6759,9265,CYTH3
7073,3921,5294,PIK3CG
4950,2547,3352,HTR1D
5049,2553,3359,HTR3A
4800,4306,5770,PTPN1
8129,4009,5409,PNMT
2890,5610,7372,UMPS
7154,1411,1803,DPP4
7882,2649,3514,IGKC
7829,1142,1432,MAPK14
3616,68,58,ACTA1
2613,4008,5408,PNLIPRP2
2613,1349,1723,DHODH
4801,4057,5467,PPARD
8482,3246,4312,MMP1
3555,4206,5644,PRSS1
2825,57,43,ACHE
9532,4747,6344,SCTR
2689,330,383,ARG1
6460,1489,1910,EDNRB
6460,1488,1909,EDNRA
8786,2527,3320,HSP90AA1
158,1825,2352,FOLR3
158,1824,2350,FOLR2
158,1823,2348,FOLR1
107,3703,5021,OXTR
107,3702,5020,OXT
949,2188,2904,GRIN2B
949,16603,116443,GRIN3A
2152,4174,5604,MAP2K1
7144,1347,1719,DHFR
1942,7582,10243,GPHN
1942,3575,4842,NOS1
1942,4509,6035,RNASE1
1942,6244,8573,CASK
1942,1188,1487,CTBP1
1942,6760,9266,CYTH2
1942,618,760,CA2
1942,101,98,ACYP2
1942,2407,3162,HMOX1
1942,15817,87769,GGACT
1942,3143,4151,PVALB
1942,1742,2246,FGF1
7190,1661,2147,F2
7149,2212,2932,GSK3B
1199,930,1135,CHRNA2
1199,57,43,ACHE
1199,2553,3359,HTR3A
1199,934,1139,CHRNA7
2358,3328,4522,MTHFD1
8383,8069,10846,PDE10A
4397,3872,5236,PGM1
4337,3143,4151,MB
5471,3537,4791,NFKB2
5471,3536,4790,NFKB1
130,1201,1503,CTPS1
130,2055,2752,GLUL
130,4061,5471,PPAT
7978,1349,1723,DHODH
8436,2527,3320,HSP90AA1
1121,4730,6323,SCN1A
8175,7424,10062,NR1H3
8175,7796,10499,NCOA2
8175,4679,6257,RXRB
9212,4287,5742,PTGS1
9212,4288,5743,PTGS2
8489,3249,4316,MMP7
3918,3577,4846,NOS3
8363,5432,7157,TP53
641,2402,3156,HMGCR
641,2784,3689,ITGB2
641,2779,3683,ITGAL
1242,2550,3356,HTR2A
1242,2551,3357,HTR2B
1242,4898,6532,SLC6A4
1242,2552,3358,HTR2C
1242,2227,2950,GSTP1
1242,4896,6530,SLC6A2
7556,3246,4312,MMP1
7556,3254,4321,MMP12
13996,401,476,ATP1A1
2073,3143,4151,MB
2073,2407,3162,HMOX1
2073,527,645,BLVRB
6410,5646,7421,VDR
8247,834,1017,CDK2
3319,2176,2891,GRIA2
5307,1310,1644,DDC
496,928,1133,CHRM5
496,927,1132,CHRM4
496,923,1128,CHRM1
496,926,1131,CHRM3
496,924,1129,CHRM2
446,1277,1604,CD55
1218,2840,3757,KCNH2
1218,1264,1588,CYP19A1
2690,138,142,PARP1
2705,3951,5328,PLAU
8995,179,196,AHR
139,3973,5351,PLOD1
139,6602,9058,SLC13A2
139,6117,8424,BBOX1
139,6420,8801,SUCLG2
139,6549,8985,PLOD3
139,6546,8974,P4HA2
139,4785,6392,SDHD
139,12766,56670,SUCNR1
139,3701,5019,OXCT1
139,13528,64064,OXCT2
139,379,444,ASPH
139,5900,7915,ALDH5A1
139,4782,6389,SDHA
139,7822,10536,P3H3
139,13758,64849,SLC13A3
139,12140,55214,P3H2
139,3714,5033,P4HA1
139,6421,8802,SUCLG1
139,6285,8630,HSD17B6
139,4784,6391,SDHC
139,4783,6390,SDHB
139,6422,8803,SUCLA2
139,1172,1468,SLC25A10
139,4923,6561,SLC13A1
139,12143,55217,TMLHE
139,13585,64175,P3H1
2095,3124,4129,MAOB
468,2864,3783,KCNN4
468,2108,2815,GP9
468,5428,7153,TOP2A
36,1671,2159,F10
36,5322,7035,TFPI
36,1013,1272,F3
36,2000,2677,GGCX
36,2478,3249,HPN
36,1667,2155,F7
3201,1078,1357,CPA1
2029,1598,2053,EPHX2
7315,4354,5836,PYGL
3957,2679,3558,IL2
7633,43,28,ABO
3725,3768,5105,PCK1
1025,2683,3562,IL3
1025,4698,6283,S100A12
1025,4699,6284,S100A13
1025,1742,2246,FGF1
7024,834,1017,CDK2
3153,2480,3251,HPRT1
